name,nameEN,city,rate,address,phone,time,quality_rate,service_rate,w_to_p_ratio,decor_rate,features
کارول (اندرزگو),coffeeshops,tehran,,بلوار کاوه، ابتدای بلوار اندرزگو، پلاک ۱۳۸,02122215739,9-23,0, 0,0,0,['دستگاه کارت خوان']
ژابیز لانژ,coffeeshops,tehran,4.4,خیابان ولیعصر، بالاتر از پارک ساعی، نبش خیابان مردوخی,02188856149,10-24,2, 2,3,2,"['قلیان', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
همنشین,coffeeshops,tehran,,میدان رسالت، خیابان هنگام، سه راه طاهرخانی، نبش کوچه بهار,02177224574,9-24,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
ماهور (شهرک غرب),coffeeshops,tehran,,شهرک غرب، بلوار دادمان، ابتدای خیابان درختی، مرکز خرید سپهر، طبقه اول	,02188071090,11-24,0, 0,0,0,"['پارکینگ', 'دستگاه کارت خوان']"
هاب,coffeeshops,tehran,8.2,دروازه شمیران، میدان ابن سینا، خیابان مازندران,02177677254,9-24,5, 4,5,5,"['صبحانه', 'اینترنت رایگان', 'دستگاه کارت خوان']"
کلندی جلاتو,coffeeshops,tehran,8.1,یوسف آباد،خیابان اسد آبادی،بین ۴۳ و ۴۵ ،جنب بانک رفاه,02188601114,10-24,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کاما,coffeeshops,tehran,3.3,تقاطع خیابان بهشتی و سهرودی پلاک ۱۳۶,02188416061,9-23,3, 4,3,3,"['صبحانه', 'فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
دلواز,coffeeshops,tehran,,شهرک غرب، فاز 1 خ ایران زمین،مرکزخریدگلستان، حیاط شرقی,02188574755,9-22,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
سدل روم,coffeeshops,tehran,,"شهرک غرب، فاز ۴، خیابان فلامک شمالی،
نبش کوچه پنجم، پلاک ۲۸",02188078088,8:30-22:30,0, 0,0,0,"['صبحانه', 'فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ویگو,coffeeshops,tehran,,تجريش ميدان قدس ابتداى خيابان باهنر پلاك ٥٧١,,7:30-23:30,0, 0,0,0,['دستگاه کارت خوان']
بابا طاهر,coffeeshops,tehran,,نرسیده به میدان شاپور بین خیابان طبرستان و بشیری پلاک۶۴۸,02155381966,11-24,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
گروک,coffeeshops,tehran,,شهران جنوبی، بلوار کوهسار، خیابان فرهنگ، مجتمع کوهسار،بلوکB، واحد تجاری یک,02144368429,10-24,0, 0,0,0,"['صبحانه', 'سیگار', 'دستگاه کارت خوان']"
لوزان,coffeeshops,tehran,8.1,خیابان سپهبد قرنی، خیابان شاداب، پلاک ۵۲، جنب هتل قدس,9217260653,6-23:30,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
کانتینر (سعادت آباد),coffeeshops,tehran,8.1,سعادت آباد، میدان فرهنگ، بلوار ۲۴ متری، نبش هفتم شرقی,02122140603,8-24,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
سیزده 50,coffeeshops,tehran,,سعادت آباد،بالاتر از میدان کاج، بین خیابان عبقری و گلستان دوم,02122359015,9-24,0, 0,0,0,"['فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ریزوتو (زعفرانیه),coffeeshops,tehran,,زعفرانیه، میدان اعجازی، بلوار بهزادی، بن بست بهار,02122180851,11-24,0, 0,0,0,"['صبحانه', 'موسیقی زنده', 'پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
عمارت پلاک 85,coffeeshops,tehran,6,یوسف آباد، خیابان شهید اکبری، روبروی سی و سوم، پلاک ۸۵,02186053695,11-23:30,4, 4,4,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
دریم لند,coffeeshops,tehran,,بلوار فردوس شرق، بين خیابان عقيل و حسن آباد،پلاك ٣٦٧,02144978731,16-24,0, 0,0,0,['دستگاه کارت خوان']
طهران تهران,coffeeshops,tehran,,خیابان جمهوری، جنب متروی سعدی، پلاک ۲۰۵,02133934524,12-16,0, 0,0,0,"['موسیقی زنده', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ال ماسو,coffeeshops,tehran,6.7,تهرانپارس، بالاتر از فلکه سوم، انتهای خیابان خدابنده، ساختمان امیران,02177200495,11-23,2, 3,5,2,['دستگاه کارت خوان']
خشت بهشت,coffeeshops,tehran,8.2,خیابان پیروزی، صد دستگاه، پلاک524,02133319225,12-24,4, 4,5,4,['دستگاه کارت خوان']
تاریخ,coffeeshops,tehran,6.7,وصال شیرازی، نرسیده به بلوارکشاورز، بالاتر از ایتالیا، کوچه مریم، کاشی۵,02188997229,9-20,4, 5,5,4,"['صبحانه', 'دستگاه کارت خوان']"
یونیس,coffeeshops,tehran,5.2,خیابان استخر، بلوار استقلال، جنب پارک پلیس، ابتدا خیابان صاحب الزمان شمالی، پلاک 12، طبقه اول,02177060312,11-24,3, 2,3,3,"['اینترنت رایگان', 'دستگاه کارت خوان']"
سایدا,coffeeshops,tehran,6.7,شهران شمالی،بالاتر از فلکه سوم،جنب کارواش پدربزرگ,02144314051,12-24,4, 3,4,4,"['پارکینگ', 'سیگار', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
سوییت بار,coffeeshops,tehran,,بزرگراه شهید محلاتی،حد فاصل پُل ری و پُل آهنگ،پلاک ۳۳۸,02133519430,11-23,0, 0,0,0,['دستگاه کارت خوان']
رادیو سیتی,coffeeshops,tehran,2.4,زعفرانیه، سه راه آصف،مجتمع تجاری بامیک,02122179245,8:30-23:30,0, 0,0,0,"['صبحانه', 'موسیقی زنده', 'پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
مزون,coffeeshops,tehran,,دروس، میدان هدایت، خیابان شادلو، خیابان کماسایی، پلاک۴۷,02122765436,8-23,0, 0,0,0,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
بلو بیسترو,coffeeshops,tehran,,بزرگراه آیت الله کاشانی،نبش خیابان عقیل,02144000999,12-24,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
چهل,coffeeshops,tehran,,سعادت آباد، خیابان ۳۸، نبش تقاطع نبی اکرم و خیابان ۴۰,02188095152,8:30-23,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
سینتیا,coffeeshops,tehran,7.4,فرمانیه،نبش نارجستان چهارم،مجتمع ارتمیس،طبقه دوم,02126253102,12-23:30,3, 3,4,2,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
الیاسام,coffeeshops,tehran,6.2,حکیم غرب، خروجی لشگری غرب گذر,02144998732,12-24,4, 2,4,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
راکان,coffeeshops,tehran,5.2,انتهای اتوبان ستاری شمال،میدان دانشگاه،نبش خیابان مخابرات,02144847702,11-23,2, 2,4,3,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کولی,coffeeshops,tehran,,سـعادت آباد، بلوار دریـا، صرافهـا جنوبی، ۳۱غـربی,02188690973,8-21,0, 0,0,0,['دستگاه کارت خوان']
پاگانی,coffeeshops,tehran,2.4,پاسداران، خيابان داوود اسلامی، بالاتر از خيابان گيلان، پلاك 12.2 ، طبقه دوم,02126650261,9-24,1, 1,1,1,"['صبحانه', 'اینترنت رایگان', 'دستگاه کارت خوان']"
لی وان زغالچی,coffeeshops,tehran,8.1,شهر آرا، پایین تر از اداره گذرنامه، نبش کوچه هفتم(اکبرزاده),02166436782,8-24,4, 5,4,5,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
دنده شیشا,coffeeshops,tehran,کیفیت غذا,اندرزگو، نبش کاوه، کنار رستوران ضیافت، کوچه نیکو ، پلاک۱، طبقه -۱,9123059935,11-24,1, 1,1,1,['دستگاه کارت خوان']
نون,coffeeshops,tehran,,خیابان حافظ، روبروی تالار وحدت,02166756044,10-23,0, 0,0,0,['دستگاه کارت خوان']
تراس ایده,coffeeshops,tehran,,خیابان کریمخان، خیابان سنایی، کوچه هجدهم، پلاک ۲۶، طبقه دوم‌,02188308145,12-22,0, 0,0,0,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
یاسمینا,coffeeshops,tehran,,سعادت آباد،نبش نفيسي غربي (٢٣)،پلاك ٧٢/١,02188688629,12:30-23,0, 0,0,0,"['فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
اسکای لانژ,coffeeshops,tehran,2.6,سعادت آباد، میدان بهرود، خیابان 33، هتل اسپیناس پالاس,02175675000,19-2,2, 2,4,2,"['سیگار', 'قلیان', 'فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
هاوس لرت,coffeeshops,tehran,,اقدسيه، موحددانش، پلاك ١١٠،مجتمع پلاتين,02126158238,11-20,0, 0,0,0,"['سیگار', 'دستگاه کارت خوان']"
عمارت آرنوش,coffeeshops,tehran,,خیابان کریمخان، بین خیابان ایرانشهر و خردمند جنوبی، خیابان ماهشهر، کوچه ملکیان، پلاک ۱۸,02188867427,11-22,0, 0,0,0,"['فضای باز', 'دستگاه کارت خوان']"
بیست و چهار,coffeeshops,tehran,,سعادت آباد،سرو غربي،١٨ متري مطهري،پلاك ١٢,09123725424,11-23:30,0, 0,0,0,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
خانه میرا,coffeeshops,tehran,6.8,خیابان فلسطین جنوبی، خیابان لبافی نژاد، کاشی ۸۷,02166459765,11-23,3, 4,4,4,"['صبحانه', 'دستگاه کارت خوان']"
کورلئونه,coffeeshops,tehran,6.7,شهرک غرب، بلوار دریا به سمت شرق، بعد از میدان کوثر، رو به رو پارک دلاوران، خیابان 21 متری گلها,02188563972,8:30-20,3, 4,3,3,"['صبحانه', 'اینترنت رایگان', 'دستگاه کارت خوان']"
دانته (مرزداران),coffeeshops,tehran,5.3,بلوار مرزداران، جنب شیرینی ماه بانو، پلاک ١٨٥,02144231372,12-24,1, 1,3,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
عمارت یار,coffeeshops,tehran,7.1,خیابان طالقانی، خیابان حافظ، خیابان رشت، پلاک ۴۱,09332672244,9-20,3, 3,4,3,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
فرمو,coffeeshops,tehran,8.1,خیابان گاندی، ضلع شمالی پل همت,02188886240,7-23,4, 5,5,4,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
شاپرک (جمهوری),coffeeshops,tehran,,میدان جمهوری، نبش خیابان ارومیه,02166913860,10:30-23,0, 0,0,0,"['سیگار', 'قلیان', 'دستگاه کارت خوان']"
اسپیناچ,coffeeshops,tehran,کیفیت غذا,سعادت آباد،بلوار کوهستان، مجتمع اپال طبقه ۵,02122382637,9-24,0, 0,0,0,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
سماع افلاک,coffeeshops,tehran,,مرزداران غربی، خیابان ابراهیمی، برج الوند طبقه ۲,02144262252,9-24,0, 0,0,0,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
درچه,coffeeshops,tehran,7.5,سعادت آباد، خیابان کوهستان، مجتمع تجاری اپال طبقه ي ششم,02122362882,8-24,5, 4,5,3,"['صبحانه', 'پارکینگ', 'دستگاه کارت خوان']"
پیراشکی خسروی,coffeeshops,tehran,8.1,خیابان جمهوری، جنب کافه نادری، پلاک688,02166763759,8:30-22,0, 0,0,0,['دستگاه کارت خوان']
رهاس,coffeeshops,tehran,,جنب سينما فلسطين،خيابان برادران مظفر،شماره ١٢٥,9331331774,9-18,0, 0,0,0,"['صبحانه', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
ایوان (لاله زار),coffeeshops,tehran,7.7,سعدی، خیابان ‌منوچهری، پاساژ مرجان، طبقه‌۱,02133532270,10-20,4, 4,5,4,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
تی یرا,coffeeshops,tehran,8.1,دروس، میدان هدایت، پلاک ۲۱,02122550055,12-23:30,5, 5,5,5,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
یاسرخان,coffeeshops,tehran,,خیابان ملاصدرا،خیابان شیراز شمالی،پلاک۱۳۱,02188059435,10:30-23,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
سرا (شهرری),coffeeshops,tehran,8.1,شهرری، فودکورت ری لند,,11-24,0, 0,0,0,['دستگاه کارت خوان']
فروهر,coffeeshops,tehran,8.1,هروی ، خیابان گلزار ، نبش کوچه پنجم ، همکف برج گلزار,02126753484,8-24,0, 0,0,0,"['سیگار', 'قلیان', 'دستگاه کارت خوان']"
فلوره,coffeeshops,tehran,,خیابان ولیعصر، پایین تر از میدان ولیعصر، نبش بن بست صدف,02188923589,11-21:30,0, 0,0,0,['دستگاه کارت خوان']
مان زا,coffeeshops,tehran,6.3,خیابان کریم خان، خیابان نجات الهی، خیابان اراک، پلاک35,02188906727,9-20,4, 4,4,4,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
وی آی پی کاظمی,coffeeshops,tehran,6.7,روبروی ایستگاه مترو چیتگر,021,12-24,4, 4,4,4,['دستگاه کارت خوان']
بنیز,coffeeshops,tehran,,فرشته،خیابان آقا بزرگی،خیابان صحرا،پلاک27,,8-23,0, 0,0,0,['دستگاه کارت خوان']
انگرام,coffeeshops,tehran,,خیابان فاطمی، خیابان دائمی، خیابان سازمان آب، پلاک ۳۶,02188391669,10:30-24,0, 0,0,0,['دستگاه کارت خوان']
مارول,coffeeshops,tehran,,خیابان شریعتی، پایین تر از سراه طالقانی، نرسیده به چهارراه سمیه، پلاک ۱۱۴/۱,02177531368,9-23,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
ناک,coffeeshops,tehran,8.1,هفت تیر، مفتح جنوبی، ورکش، نبش سیاسی پلاک ۱۷/۷,02188495329,7:30-23,0, 0,0,0,"['صبحانه', 'سیگار', 'دستگاه کارت خوان']"
نارا,coffeeshops,tehran,,میدان انقلاب، کارگر شمالی، بالاتر از نصرت، پلاک 1531,,10-22,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کلانا (فیروزه),coffeeshops,tehran,6.7,نرسیده به میدان ولیعصر، نبش خیابان فیروزه,02188943555,7-23,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
چیاکو (پاسداران),coffeeshops,tehran,,پاسداران، نگارستان یکم,02122871020,8-24,0, 0,0,0,['دستگاه کارت خوان']
دلسا (پاسداران),coffeeshops,tehran,3.8,پاسداران روبه روي نگارستان پنجم، پلاک ٤٦,09198030789,11-24,2, 2,4,1,['دستگاه کارت خوان']
لنا (تهرانپارس),coffeeshops,tehran,,تهرانپارس، خیابان گلبرگ، خیابان۱۱۳(صادقی)، نبش خیابان ۱۴۴غربی(ستانی),02177871000,10-24,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
ویونا (روشا اکسپرس),coffeeshops,tehran,8.1,ابتدای خیابان لواسانی،مرکزخرید روشا،درب ورودی فرمانیه,02125714114,7-23,5, 5,4,5,"['صبحانه', 'پارکینگ', 'فضای باز', 'دستگاه کارت خوان']"
کاریزنو,coffeeshops,tehran,6.7,خیابان سمیه، بین ایرانشهر و سپهبدقرنی، پلاک212,02188829192,9:30-23,4, 4,3,3,"['صبحانه', 'دستگاه کارت خوان']"
نیکو,coffeeshops,tehran,7.9,"ضلع غربی پارک هنرمندان، خیابان ایرانشهر، بن
بست نیکوشهر",02188815824,12-23,4, 4,5,4,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
آروما (شهرک گلستان),coffeeshops,tehran,,شهرک گلستان، بلوار کوهک، مجتمع تجاری طوبی، طبقه اول ، واحد149,02146087305,10-22,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
بابل,coffeeshops,tehran,8.1,بلوار کشاورز،ابتدای وصال شیرازی،نبش بن بست هما،پلاک119,02186052604,11-23,5, 4,4,5,"['سیگار', 'دستگاه کارت خوان']"
هور خانه فرهنگ و غذا,coffeeshops,tehran,7,هفت تیر، کوچه مانی، پلاک ۷۵,02188822288,9-24,3, 3,4,3,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
حیاط نیوا,coffeeshops,tehran,,پاسداران،گلستان دوم(فلاح زاده)،پلاک 109,02122797883,9:30-24,0, 0,0,0,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
دفراز,coffeeshops,tehran,3.8,شهرک آهن، بلوار کوهک، نسیم 16,02146021440,10-22,0, 0,0,0,['دستگاه کارت خوان']
نارون (انقلاب),coffeeshops,tehran,6.7,خیابان انقلاب، نرسیده به خیابان ویلا جنب قهوه ست ، پلاک ۸۵۰,02166769081,9-24,4, 4,4,4,['دستگاه کارت خوان']
چکاد,coffeeshops,tehran,,خیابان یوسف آباد،خیابان شصت و چهارم، مجتمع تجاری، مسکونی ASP،واحد تجاری ۳۴,02188624741,12-23,0, 0,0,0,['دستگاه کارت خوان']
دوپیو,coffeeshops,tehran,,ولیعصر، تقاطع زردتشت نبش کوچه نوربخش,02188919170,12-23,0, 0,0,0,['دستگاه کارت خوان']
کارخانه,coffeeshops,tehran,5.3,میدان شیخ بهایی ، جنب بانک رفاه ، شماره 1,02188069160,9-23,1, 2,5,1,"['صبحانه', 'اینترنت رایگان', 'دستگاه کارت خوان']"
رزاموند,coffeeshops,tehran,,جنت آباد شمالي،بالا تر از چهار راه ايرانپارس،انتهاي خيابان كوروش شرقي،بالاي فرشگاه كوروش,02144820235,12-24,0, 0,0,0,['دستگاه کارت خوان']
هیرو کام,coffeeshops,tehran,9.3,پونک، ضلع شمالی بلوار همیلا،پلاک39,02146132271,10-24,5, 5,5,5,['دستگاه کارت خوان']
دو فرانس,coffeeshops,tehran,,خیابان گاندی،پاساژ گاندی،طبقه اول,02188792038,10-24,0, 0,0,0,['دستگاه کارت خوان']
فلورانس,coffeeshops,tehran,6.8,مرزداران،خیابان ابوالفضل،پلاک8,02144237788,12-23:30,4, 4,4,4,"['صبحانه', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
جهرمی,coffeeshops,tehran,,"خیابان وحدت اسلامی(شاپور)
قبل از میدان شاپور، پلاک 586",,11-23,0, 0,0,0,['دستگاه کارت خوان']
نارین (تهرانپارس),coffeeshops,tehran,,تهرانپارس، بلوار باقری، فلکه سوم، لاین کندرو، پلاک ۸۴,,12-24,0, 0,0,0,"['اینترنت رایگان', 'دستگاه کارت خوان']"
هورسان بیسترو,coffeeshops,tehran,6.7,جردن،بالاتر از بلوار اسفندیار،نبش عاطفی غربی پلاک ۱۴۸,02122020072,12:30-23:30,2, 4,3,2,"['اینترنت رایگان', 'دستگاه کارت خوان']"
گالری رحیمیه,coffeeshops,tehran,,مترو پانزده خرداد،سبزه میدان،بازار کفاشها،رحیمیه۲,02155815132,10-19,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
هاما,coffeeshops,tehran,,شهرک گلستان، بلوار امیرکبیر، تقاطع کاج، مجتمع مال مون,02146020460,9-22,0, 0,0,0,['دستگاه کارت خوان']
لیزا,coffeeshops,tehran,7.5,شهرک غرب، خیابان سپهر، بین فرحزادی و فخار مقدم، پلاک 29,02188093728,8:30-24,4, 5,4,4,"['صبحانه', 'دستگاه کارت خوان']"
قصر ایرانیان,coffeeshops,tehran,6.8,میدان جمهوری، خیابان جمهوری، تقاطع خیابان اسکندری، جنب داروخانه، ساختمان راز، طبقه اول,02166941991,11-24,4, 3,4,4,"['سیگار', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
روتیندا,coffeeshops,tehran,کیفیت غذا,قیطریه، بلوار صبا، ابتدای خیابان فاطمیه، نبش مهر ۷,02122201913,11-24,5, 5,5,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
گالری هورا,coffeeshops,tehran,6.7,خیابان نوفل لوشاتو، خیابان رازی، بن بست زندوکیل، پلاک ۶,02166465679,8-23:30,0, 0,0,0,"['صبحانه', 'فضای باز', 'دستگاه کارت خوان']"
زئوس,coffeeshops,tehran,,سعادت‌آباد ، میدان کاج ، سرو شرقی ، بلوار علامه شمالی ، نبش چهاردهم شرقی,02122148200,18-24,0, 0,0,0,"['پارکینگ', 'دستگاه کارت خوان']"
زنان کوچک,coffeeshops,tehran,8.3,یوسف آباد،نبش پانزدهم،پلاک ۶۵,02188717173,8-22:30,5, 5,4,5,"['صبحانه', 'دستگاه کارت خوان']"
ولفز دن,coffeeshops,tehran,4.4,پاسداران، خیابان پایدار فرد، نبش بوستان دهم,02140227670,12-24,3, 3,5,2,"['اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
رف,coffeeshops,tehran,8.1,نیاوران، خیابان باهنر، بعد از مژده، بن بست شریعتی، پلاک ۱,09199185586,17-23:15,5, 5,5,5,"['فضای باز', 'دستگاه کارت خوان']"
برد (مطهری),coffeeshops,tehran,,خیابان مطهری، نرسیده به خیابان سهروردی، ساختمان شماره ۱۲۰، طبقه منفی یک,02188867924,16:30-23,0, 0,0,0,"['اینترنت رایگان', 'دستگاه کارت خوان']"
تخت جمشید (سیدخندان),coffeeshops,tehran,,خیابان شریعتی، ضلع جنوب پل سیدخندان پلاک ۱۸,02188511119,11:30-23,0, 0,0,0,"['اینترنت رایگان', 'دستگاه کارت خوان']"
هتل ویستریا,coffeeshops,tehran,,تجریش ، میدان قدس ،خیابان دربند ، نبش احمدی زمانی ، هتل ویستریا,02172071,8-23:30,0, 0,0,0,"['صبحانه', 'پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
لونیکو,coffeeshops,tehran,8.1,بلوار فردوس غرب( ناصر حجازی)، روبه روی پارک الهام,02146111341,12-24,4, 4,5,3,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
بایت,coffeeshops,tehran,7.5,خیابان حبیب اللهی، خیابان قاسمی، پلاک۷۹، جنب جهد دانشگاهی شریف,02165013097,9-22,5, 5,5,5,"['صبحانه', 'اینترنت رایگان', 'دستگاه کارت خوان']"
بی قرار,coffeeshops,tehran,,مجیدیه شمالی، بلوار کاووسی ( بلوار بیژن )، بالاتر از گلستان دهم، پلاک ۱۳۵,09121275796,11-24,0, 0,0,0,['دستگاه کارت خوان']
چینو,coffeeshops,tehran,8.1,پونک،ضلع شمالی مجتمع بوستان،خیابان کربلایی احمد (اردیبهشت)،راهرو آبشار بالا،پلاک ۸۳۶,09361121275,10-23,0, 0,0,0,"['قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
انتظار,coffeeshops,tehran,,خیابان دولت، چهار راه قنات اول، خیابان آقا میری، جنب بانک پاسارگاد، پلاک 45، طبقه همکف، کلینیک دانیان,09355685643,9-24,0, 0,0,0,"['صبحانه', 'اینترنت رایگان', 'دستگاه کارت خوان']"
فراموشی,coffeeshops,tehran,6.7,سهروردی، اورامی، نبش اسلامی,02188324686,14-22,3, 3,3,3,['دستگاه کارت خوان']
گالری فرش,coffeeshops,tehran,,میدان منیریه، خیابان معیری، پلاک 116 و 118,0215538849,9-24,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
احرار,coffeeshops,tehran,8.1,خیابان پیروزی ، ۱۰۰متر پایین تر از چهار راه کوکا کولا ،نبش خیابان لادن غربی,02177415614,17-24,0, 0,0,0,"['سیگار', 'قلیان', 'دستگاه کارت خوان']"
استیج,coffeeshops,tehran,,میدان دریاچه، بلوار میعاد غربی، درب اصلی دریاچه، استیج غربی، پلاک 11,9191400470,7-12,0, 0,0,0,"['صبحانه', 'پارکینگ', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
سوئینی,coffeeshops,tehran,6.8,بلوار فردوس غرب، بعد از بهار شمالی، نبش منوچهر غربی,9124506742,12-24,5, 4,3,3,['دستگاه کارت خوان']
شاین (مجتمع طوبی),coffeeshops,tehran,,چیتگر.بلوار کوهک مجتمع تجاری طوبی,02146088893,12-23,0, 0,0,0,"['فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کایوتی,coffeeshops,tehran,,خیابان انقلاب، بین شریعتی و پل‌چوبی، کوچه توانا,02177538496,10-24,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
دریمر,coffeeshops,tehran,6.7,خیابان کریمخان، خیابان .خردمند جنوبی، ‌کوچه نوشهر، پلاک۳,02188349619,9-24,4, 4,3,4,"['صبحانه', 'دستگاه کارت خوان']"
روزاریو,coffeeshops,tehran,4.4,فلكه اول تهرانپارس،خيابان قانع،روبروی درب اصلى پاساژ‌ سپيد،پلاك ٣١,02176705347,12-24,2, 4,4,2,['دستگاه کارت خوان']
لوکال,coffeeshops,tehran,4.6,ولنجک میدان دانشگاه انتهای بلوار دانشجو روبروی دبستان ایران زمین پلاک 15.1,02122180511,12-24,1, 1,1,1,"['صبحانه', 'پارکینگ', 'فضای باز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
تک سین,coffeeshops,tehran,8.2,شهرک غرب،بلوار دادمان،خیابان فخارمقدم،پلاک72,02122362809,9-24,5, 5,5,5,['دستگاه کارت خوان']
عمارت نظامیه,coffeeshops,tehran,6.7,ميدان بهارستان، خيابان مصطفى خمينى، خيابان نظاميه، كوچه اصالت، بن بست پنجم,02175904,9-23,0, 0,0,0,"['صبحانه', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
دل وار,coffeeshops,tehran,,نياوران، پايين تر از سه راه ياسر,,9-24,0, 0,0,0,"['اینترنت رایگان', 'دستگاه کارت خوان']"
لته باز,coffeeshops,tehran,,خیابان بزرگمهر،بین مظفروفلسطین،نبش ساختمان تجاری بزرگمهر,02166453354,11:30-22:30,0, 0,0,0,['دستگاه کارت خوان']
کانسپت,coffeeshops,tehran,,خیابان انقلاب ، خیابان رازی ، نبش پارک دانشجو,021,9-23,0, 0,0,0,['دستگاه کارت خوان']
هل,coffeeshops,tehran,,فرمانیه ، نارنجستان ۷ ، مجتمع تجاری پارک سنتر ، طبقه اول,02140224257,9_23:30,0, 0,0,0,"['صبحانه', 'دستگاه کارت خوان']"
میان,coffeeshops,tehran,8.2,انقلاب، جمالزاده جنوبی، رشتچی، پ ۲۶,02166424376,16-23,5, 5,5,5,"['فضای باز', 'دستگاه کارت خوان']"
خانه سرهنگ,coffeeshops,tehran,7.4,انقلاب، میدان فردوسی، خیابان پارس، شماره ۲,,11:30-23:30,3, 4,4,4,['دستگاه کارت خوان']
موزه گربه  ایرانی,coffeeshops,tehran,7.7,بلوارکشاورز،خ وصال، نرسیده به ایتالیا، بن‌بست مریم,02188965459,12-23,4, 4,3,4,"['سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
میژو,coffeeshops,tehran,7.4,بلوار فردوس شرق، بين رامين و مالكى، پلاك ٢٤٨,02144078912,12-24,4, 4,3,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
کرنج,coffeeshops,tehran,7.5,پاسداران، میدان هروی، خیابان ساقدوش، پایین تر از کوچه یاس پلاک 117/1,02122951616,12-16:30,0, 0,0,0,"['پارکینگ', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
